input,expected_output
Collect all PRs from this repo ,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""close_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get only data about commits from this repository,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Fetch merge requests,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""close_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
I want to get the reviews concerning this repo,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""review_state"", ""reviewer"", ""review_date"", ""review_comments"", ""pr_number"", ""pr_title""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get PR comments,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_comments"", ""comment_authors"", ""comment_dates"", ""comment_content"", ""pr_number"", ""pr_title""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
"Collect data,i want just file changes","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""total_changes"", ""pr_number""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Calculate lead time,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""creation_date"", ""merge_date"", ""pr_state""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time""]}"
Get code churn informations for this github repo ,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""lines_added"", ""lines_deleted"", ""file_names"", ""file_status"", ""pr_number""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""churn_additions"", ""churn_deletions""]}"
Show me commits over time,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Visualize state distribution,"{""intent"": ""analyze"", ""metrics"": [""state_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""pie_chart""}"
